Name,Developer,Version,Loader,Enabled,FileName,Path
Create Hypertube,Rok,0.5.0-ALPHA,NeoForge,true,create_hypertube-0.5.0-ALPHA-NEOFORGE.jar,C:\Users\Lucky56\github\modpacks\mods\create_hypertube-0.5.0-ALPHA-NEOFORGE.jar
Create: Pattern Schematics,Cake,2.0.10,NeoForge,true,create_pattern_schematics-2.0.10.jar,C:\Users\Lucky56\github\modpacks\mods\create_pattern_schematics-2.0.10.jar
Ratatouille,"Forsteri, Thaumstrial, Even",1.3.9-2,NeoForge,true,create_ratatouille-1.21.1-1.3.9-2.jar,C:\Users\Lucky56\github\modpacks\mods\create_ratatouille-1.21.1-1.3.9-2.jar
Create Deep Seas,Maxenonyme,2.2.4,NeoForge,true,create_submarine-2.2.4.jar,C:\Users\Lucky56\github\modpacks\mods\create_submarine-2.2.4.jar
Create: Vibrant Vaults,ZLT,0.3.2,NeoForge,true,create_vibrant_vaults-0.3.2.jar,C:\Users\Lucky56\github\modpacks\mods\create_vibrant_vaults-0.3.2.jar
CreativeCore,CreativeMD,2.13.41,NeoForge,true,CreativeCore_NEOFORGE_v2.13.41_mc1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\CreativeCore_NEOFORGE_v2.13.41_mc1.21.1.jar
Creature Feature,"AtiredDev, Team Galena",1.1.0,NeoForge,true,creaturefeature-1.1.0.jar,C:\Users\Lucky56\github\modpacks\mods\creaturefeature-1.1.0.jar
Creeper Overhaul,"Artist/Creator - Joosh, Dev - ThatGravyBoat",4.0.6,NeoForge,true,CreeperOverhaul-neoforge-1.21.1-4.0.6.jar,C:\Users\Lucky56\github\modpacks\mods\CreeperOverhaul-neoforge-1.21.1-4.0.6.jar
Critters and Companions,"Joosh, EterDelta",1.21.1-2.4.1,NeoForge,true,crittersandcompanions-neoforge-1.21.1-2.4.1.jar,C:\Users\Lucky56\github\modpacks\mods\crittersandcompanions-neoforge-1.21.1-2.4.1.jar
Cupboard mod,Someaddon,3.8,NeoForge,true,cupboard-1.21.1-3.8.jar,C:\Users\Lucky56\github\modpacks\mods\cupboard-1.21.1-3.8.jar
Curios API,C4,9.5.1+1.21.1,NeoForge,true,curios-neoforge-9.5.1+1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\curios-neoforge-9.5.1+1.21.1.jar
Cut Through,Fuzs,21.1.0,NeoForge,true,CutThrough-v21.1.0-1.21.1-NeoForge.jar,C:\Users\Lucky56\github\modpacks\mods\CutThrough-v21.1.0-1.21.1-NeoForge.jar
Cubes Without Borders,Kir_Antipov,3.0.0+mc1.21,NeoForge,true,cwb-neoforge-3.0.0+mc1.21.jar,C:\Users\Lucky56\github\modpacks\mods\cwb-neoforge-3.0.0+mc1.21.jar
Coop Moves,Anteryo,2.0.0,Fabric,true,DAP ur HOMIE (Bully ur Homie).jar,C:\Users\Lucky56\github\modpacks\mods\DAP ur HOMIE (Bully ur Homie).jar
